episode,date_id,seed,is_naive,gamma,demand_scale,platoon_factor,experiment_horizon,double_layer_horizon,coeffs_up,coeffs_dn,waits,moves,total
58,30,58,True,0.72,1.0,2.0,168,4,,,29559.0,25267.556090250582,54826.55609025058
59,31,59,True,0.72,1.0,2.0,168,4,,,19074.0,25203.701730155095,44277.701730155095
60,15,60,True,0.72,1.0,2.0,168,4,,,36627.0,24956.07813830171,61583.07813830171
61,16,61,True,0.72,1.0,2.0,168,4,,,39063.0,24878.265716491274,63941.265716491274
62,17,62,True,0.72,1.0,2.0,168,4,,,47226.0,25550.619923964787,72776.61992396478
63,20,63,True,0.72,1.0,2.0,168,4,,,24795.0,25562.48451944154,50357.48451944154
64,21,64,True,0.72,1.0,2.0,168,4,,,17682.0,25714.462437262013,43396.46243726202
65,22,65,True,0.72,1.0,2.0,168,4,,,33018.0,25317.032764785356,58335.032764785356
66,23,66,True,0.72,1.0,2.0,168,4,,,25308.0,25182.178551942354,50490.17855194236
67,27,67,True,0.72,1.0,2.0,168,4,,,17973.0,25247.743145036886,43220.74314503689
68,28,68,True,0.72,1.0,2.0,168,4,,,16281.0,25575.63228626788,41856.63228626788
69,29,69,True,0.72,1.0,2.0,168,4,,,32271.0,25056.75131801727,57327.75131801727
70,30,70,True,0.72,1.0,2.0,168,4,,,29970.0,25145.082136239842,55115.08213623984
71,31,71,True,0.72,1.0,2.0,168,4,,,17181.0,25306.42759896113,42487.427598961134
72,15,72,True,0.72,1.0,2.0,168,4,,,36324.0,24576.68835338206,60900.68835338206
73,16,73,True,0.72,1.0,2.0,168,4,,,36156.0,24685.693317705427,60841.69331770543
74,17,74,True,0.72,1.0,2.0,168,4,,,40830.0,25134.1895499325,65964.1895499325
75,20,75,True,0.72,1.0,2.0,168,4,,,23115.0,25400.10593316033,48515.10593316033
76,21,76,True,0.72,1.0,2.0,168,4,,,18417.0,25947.388869739585,44364.38886973959
77,22,77,True,0.72,1.0,2.0,168,4,,,33948.0,24781.548078374,58729.548078374
78,23,78,True,0.72,1.0,2.0,168,4,,,25299.0,24859.22282946583,50158.22282946583
79,27,79,True,0.72,1.0,2.0,168,4,,,16410.0,25443.00555368834,41853.005553688345
80,28,80,True,0.72,1.0,2.0,168,4,,,20022.0,25467.242966225313,45489.24296622531
81,29,81,True,0.72,1.0,2.0,168,4,,,29478.0,24477.228510579454,53955.22851057946
82,30,82,True,0.72,1.0,2.0,168,4,,,29580.0,25226.3606297739,54806.3606297739
83,31,83,True,0.72,1.0,2.0,168,4,,,18057.0,25308.37313407638,43365.37313407638
84,15,84,True,0.72,1.0,2.0,168,4,,,36615.0,24207.7721266706,60822.7721266706
85,16,85,True,0.72,1.0,2.0,168,4,,,40092.0,24436.496198669865,64528.49619866986
86,17,86,True,0.72,1.0,2.0,168,4,,,47937.0,25239.54306527081,73176.54306527082
87,20,87,True,0.72,1.0,2.0,168,4,,,25131.0,25688.09787988214,50819.097879882145
88,21,88,True,0.72,1.0,2.0,168,4,,,19851.0,25409.040505073062,45260.04050507306
89,22,89,True,0.72,1.0,2.0,168,4,,,33630.0,25047.892180131836,58677.892180131836
90,23,90,True,0.72,1.0,2.0,168,4,,,29781.0,25624.30869742019,55405.30869742019
91,27,91,True,0.72,1.0,2.0,168,4,,,18678.0,25050.558244722768,43728.558244722764
92,28,92,True,0.72,1.0,2.0,168,4,,,18771.0,25624.02469901671,44395.02469901671
93,29,93,True,0.72,1.0,2.0,168,4,,,37035.0,25389.152731423943,62424.15273142394
94,30,94,True,0.72,1.0,2.0,168,4,,,30030.0,25191.116216561422,55221.11621656142
95,31,95,True,0.72,1.0,2.0,168,4,,,18615.0,25103.753821632807,43718.75382163281
96,15,96,True,0.72,1.0,2.0,168,4,,,37863.0,25119.882485821454,62982.88248582145
97,16,97,True,0.72,1.0,2.0,168,4,,,44238.0,24641.445746240104,68879.4457462401
98,17,98,True,0.72,1.0,2.0,168,4,,,40428.0,25020.124143599565,65448.12414359956
99,20,99,True,0.72,1.0,2.0,168,4,,,22740.0,25128.91886058822,47868.91886058822
100,21,100,True,0.72,1.0,2.0,168,4,,,17910.0,25466.381692895982,43376.381692895986
101,22,101,True,0.72,1.0,2.0,168,4,,,30033.0,25014.34037467747,55047.34037467747
102,23,102,True,0.72,1.0,2.0,168,4,,,30318.0,25280.702180515316,55598.70218051532
103,27,103,True,0.72,1.0,2.0,168,4,,,15807.0,25549.73642972543,41356.73642972543
104,28,104,True,0.72,1.0,2.0,168,4,,,17853.0,25904.289365341414,43757.289365341414
105,29,105,True,0.72,1.0,2.0,168,4,,,31533.0,25095.376291846613,56628.37629184661
106,30,106,True,0.72,1.0,2.0,168,4,,,37326.0,24963.063068588664,62289.063068588664
107,31,107,True,0.72,1.0,2.0,168,4,,,17883.0,25049.054747732225,42932.054747732225
108,15,108,True,0.72,1.0,2.0,168,4,,,45219.0,25285.258486298608,70504.25848629861
109,16,109,True,0.72,1.0,2.0,168,4,,,35496.0,24076.441790327033,59572.44179032704
110,17,110,True,0.72,1.0,2.0,168,4,,,38991.0,24143.280602057177,63134.28060205717
111,20,111,True,0.72,1.0,2.0,168,4,,,27429.0,25609.76755206061,53038.76755206061
112,21,112,True,0.72,1.0,2.0,168,4,,,18765.0,25210.54441171736,43975.54441171736
113,22,113,True,0.72,1.0,2.0,168,4,,,28899.0,24406.203143066632,53305.20314306663
114,23,114,True,0.72,1.0,2.0,168,4,,,26733.0,25257.797773675335,51990.79777367534
115,27,115,True,0.72,1.0,2.0,168,4,,,17934.0,25593.372567214625,43527.372567214625
116,28,116,True,0.72,1.0,2.0,168,4,,,21711.0,25610.043311796275,47321.043311796275
117,29,117,True,0.72,1.0,2.0,168,4,,,42084.0,25523.249471789564,67607.24947178956
118,30,118,True,0.72,1.0,2.0,168,4,,,29598.0,24430.44852206355,54028.448522063554
119,31,119,True,0.72,1.0,2.0,168,4,,,19950.0,25499.417675209672,45449.41767520967
120,15,120,True,0.72,1.0,2.0,168,4,,,42009.0,25008.0474748488,67017.0474748488
121,16,121,True,0.72,1.0,2.0,168,4,,,41130.0,25279.687753166007,66409.68775316601
122,17,122,True,0.72,1.0,2.0,168,4,,,45384.0,25066.815690152453,70450.81569015245
123,20,123,True,0.72,1.0,2.0,168,4,,,29061.0,25283.259325842995,54344.259325843
124,21,124,True,0.72,1.0,2.0,168,4,,,19446.0,25286.974626625622,44732.974626625626
125,22,125,True,0.72,1.0,2.0,168,4,,,38649.0,25220.07425271024,63869.07425271024
126,23,126,True,0.72,1.0,2.0,168,4,,,26358.0,25393.046452522434,51751.04645252244
127,27,127,True,0.72,1.0,2.0,168,4,,,17133.0,25501.159519702345,42634.15951970234
128,28,128,True,0.72,1.0,2.0,168,4,,,19860.0,25813.952218965118,45673.95221896512
129,29,129,True,0.72,1.0,2.0,168,4,,,38694.0,25715.210747897192,64409.21074789719
130,30,130,True,0.72,1.0,2.0,168,4,,,27834.0,24873.645047637863,52707.64504763787
131,31,131,True,0.72,1.0,2.0,168,4,,,19101.0,25173.017914626176,44274.01791462618
132,15,132,True,0.72,1.0,2.0,168,4,,,39735.0,25115.81006231185,64850.81006231185
133,16,133,True,0.72,1.0,2.0,168,4,,,39855.0,25110.27355601167,64965.27355601167
134,17,134,True,0.72,1.0,2.0,168,4,,,42504.0,24632.759372491277,67136.75937249127
135,20,135,True,0.72,1.0,2.0,168,4,,,21744.0,25549.24857106912,47293.248571069125
136,21,136,True,0.72,1.0,2.0,168,4,,,19752.0,25388.065156012628,45140.06515601263
137,22,137,True,0.72,1.0,2.0,168,4,,,32352.0,25304.93488892892,57656.934888928925
138,23,138,True,0.72,1.0,2.0,168,4,,,26562.0,25132.55991077815,51694.559910778145
139,27,139,True,0.72,1.0,2.0,168,4,,,15633.0,25218.101064659782,40851.101064659786
140,28,140,True,0.72,1.0,2.0,168,4,,,16752.0,25952.269197686674,42704.26919768668
141,29,141,True,0.72,1.0,2.0,168,4,,,31062.0,24522.883162349437,55584.88316234943
142,30,142,True,0.72,1.0,2.0,168,4,,,30636.0,25351.19234614949,55987.19234614949
143,31,143,True,0.72,1.0,2.0,168,4,,,17964.0,24863.167661041247,42827.16766104125
